Organism	Campylobacter jejuni									
Outbreak	0810PADBR-1									
pmid										
tree	-									
source	Collette Fitzgerald									
dataType	empirical									
intendedUse	Epi-validated outbreak									
										
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2	
SAMN03569365	D5663	-	SRR1999649	outgroup	0810PADBR-1	FALSE		7ddb0cde60513b14aab60cc98b6f7c2a0a27b0d15167f6b1a93c405c6e453cc1	0623a743ec70dfe2ac52190eff6e2f584f00a23d4a6e131490a0c46889ed91d9	
SAMN04545069	D7321	-	SRR3215135	0810PADBR-1	0810PADBR-1	FALSE		aec9004dd9e882c1e3c393dad163e7984d7872d703e5188e65f03a1df1983d2a	575408883d5a07dee384977bb8df3dbf96f9d269912a9097cb8e87fdf5150e3b	human
SAMN04545062	D7331	GCA_001879185.1	SRR3214715	0810PADBR-1	0810PADBR-1	TRUE		e5e2c9dfefd8f93536cad0bed80f363c00cf1a7df41c6ff58327bfcea4e6ef4b	3b0bcace2da574beabb435e193463831996be9a5ec700f101366f6fc75b45e18	human
SAMN04545132	D7319	-	SRR3215210	0810PADBR-1	0810PADBR-1	FALSE		ed5e6c9df61c0d40692a4e8cb47b3cdee729233ad1af6cb8d4e5dfb5c1980038	57eaf36af1698db6a31d79a8e0a709fec311b0a80e0a32682506a65bec4d5b1c	human
SAMN04545068	D7323	-	SRR3215124	0810PADBR-1	0810PADBR-1	FALSE		71f3fd472cde53d21ec6e9e974a108be40e43e245a177c5488961f747b1e8ae2	3b89f1d650721e93b79733ef02e19203d7e3da34804e69504892f99bcaf2e72f	human
SAMN04545133	D7327	-	SRR3215211	0810PADBR-1	0810PADBR-1	FALSE		eb3ca7c97bfeb29aeda59a55f4adffe9fee308cec2878c86be177f4ddb1f4f93	73280b66823789ebbc192967a3b2b0d55cd6f0d055927291ffcb6b28fa48993d	human
SAMN04545064	D7328	-	SRR3215108	0810PADBR-1	0810PADBR-1	FALSE		7a993a085b7f7c4f63d7c0d923ad71cbce487aae00d6f7827e88ac5dc5629ed3	e36f86f3a18ffb7d0e76d3c2135b196ed982916250ad2edcd2aa65282f895841	human
SAMN04545269	D7316	-	SRR3216133	0810PADBR-1	0810PADBR-1	FALSE		8292b11d737f5bd7c3afbbbd87dbea758c8a411e564af9d350095b7313b3f1d1	827046d06192b6b5a167b7520c192f456fc01cd1a5d2a0f79dd77c7761290070	milk
SAMN04545131	D7322	-	SRR3215209	0810PADBR-1	0810PADBR-1	FALSE		4dd4a599549d8c0e9817ac85edda8a84a0c7f596c171b3cb36424d6906699f6b	797ea6cb5281aabc146407860a14f3235399ba8749eaf9b7a2ceb4042ed5beb5	human
SAMN04545067	D7324	-	SRR3215123	0810PADBR-1	0810PADBR-1	FALSE		ccd5eda72390b3c4f7d24dc18e886540905c33cf6deee840e1cb6ca4526a74fa	b3586aa7fc77da5e925d661d124fe99ed767177b339a86aa4f400b7b4823de54	human
SAMN04545063	D7330	-	SRR3215024	0810PADBR-1	0810PADBR-1	FALSE		4079f0431188e7032532eca9653db4c9f2ebf9a186469512c62f405f40a32f88	aaeb8341a111697e6be74a3646a2a37ac86fb35d2379511459f6f5f983cf73c5	human
SAMN04545255	D7333	-	SRR3216118	0810PADBR-1	0810PADBR-1	FALSE		ee063b00d4dda733e4332dfb28d0d1632f66e32afe28c3e08f636456532aa127	adef19920425450448a6b597519d9a3ec759fa9c9ba74267c4ade5db404adb9b	milk
SAMN04545316	D7334	-	SRR3216366	0810PADBR-1	0810PADBR-1	FALSE		fe6ee9fbb469cdfbede5ea418e56ed37b34feb15773d7cb93b2e920dd06a9e7f	09c17c47ac2b74c4a080f5673ef69a01544d3d0908d400169c53d8b2fcf7b8f5	human
SAMN04545066	D7329	-	SRR3215107	0810PADBR-1	0810PADBR-1	FALSE		94b8227e2f21d18693a7778d6b0959df77b3c66cee0d839157ec3acfb9462053	0c5c2cf0ec0c75605cd4ed0a5fec8e467102b0fb3cb397f797ba542bdd166897	human
SAMN04545292	D7320	-	SRR3216186	0810PADBR-1	0810PADBR-1	FALSE		ded38f596c7c97c10d3c94d67ef5af6e9c74a30efad57a010815d8176d9d0010	b185f98e8548cd0cf33db6fefe1783f49027039c016dfe33f3f5215692634a71	human
SAMN04327515	PNUSA000194	-	SRR2985019	outgroup	0810PADBR-1	FALSE		55132ee259485d5b8b0137cc9b84638442346f90b1e9fcaf4095a843fbeeca05	2cfbace31d8f1ba1e3864ea7b675bd4eb270252f33da7fe4ae6d00ca4c36f561	
SAMN04327516	PNUSA000195	-	SRR2985018	outgroup	0810PADBR-1	FALSE		519cb8b328ab459e312cd27a9924c06c2f1cb838066c0877de9d0453ba742ae2	c18ee2257724e259536d41fc4700440fc5152c4bea8618cf21b067e413a9d3c8	
SAMN04327517	PNUSA000196	-	SRR2984947	outgroup	0810PADBR-1	FALSE		38ff1b1586c684b74a0bc568b79401c78049cce59a719f18104b0bd6671511f6	0288742a6297b547341e085c2957b96b28eb4872b0b7075dee8c43b846b30853	
SAMN03565949	2014D-0067	-	SRR1993270	1403NMDBR-1	0810PADBR-1	FALSE		672537d68787848111b51be7211a633173216e11eacafe87294ab5f326946018	21b299c3ea8fce420606af385b229700ea37736dffaaa1848486806faf0787ff	
SAMN03565951	2014D-0070	-	SRR1993272	1403NMDBR-1	0810PADBR-1	FALSE		e1941024d80c6b72164bfcd89d632a8b13e86769ff532070cb0a781a81b25d00	18e605647c5fc9dff224f9a07a8a1aed6e6d2f00345c9f640e0336c0c950fc62	
SAMN03569408	2014D-0189	-	SRR1999661	outgroup	0810PADBR-1	FALSE		e138f7e6268862eb5590f828041a77398690a0b49c46362a9df9718f2a311f03	9a3fb2471bf0da7feafb8807d01e849f9650c09cc0eb5c28c00848e63248dde7	
SAMN03565950	2014D-0068	-	SRR1993271	1403NMDBR-1	0810PADBR-1	FALSE		e038f4e44a9f51aaa0e8de775360dd5463498264667ed92ba89e01c2760b479e	e540eb31585ef307e29c615d6dab6d1da1f21f0f886355cb5a526a0a10d31895	
