Organism	Escherichia coli O121:H19								
Outbreak	1405WAEXK-1								
pmid									
tree	http://api.opentreeoflife.org/v2/study/ot_301/tree/tree3.tre								
source	Eija Trees								
dataType	empirical								
									
biosample_acc	strain	genBankAssembly	SRArun_acc	outbreak	dataSetName	suggestedReference	sha256sumAssembly	sha256sumRead1	sha256sumRead2
SAMN02353031	2011C-3609	GCA_000703365.1	-	outgroup	1405WAEXK-1	TRUE	342ea035eb6c14b230c6c31ebda5594fa22628e6a871e6cfc19c156a595e3dfc	-	-
SAMN03098207	2014C-3598	-	SRR1609861	1405WAEXK-1	1405WAEXK-1	FALSE	-	0264dc57015100fe41a9a9167145439eb383ea8216b49785a09ce5157293e080	f3d4eb398736b36babe38659a7b616a6938b0be3837d418d3097aace6ac32e5f
SAMN03098208	2014C-3599	-	SRR1609862	1405WAEXK-1	1405WAEXK-1	FALSE	-	e703810bb7a488e99cfc7f72e31379cebd69f73fd660188723c3369bd0075aba	96a69d312a10798e0f28c4de3f17ca8050078f8f03d82238bd48600309941b74
SAMN03098209	2014C-3600	-	SRR1609871	1405WAEXK-1	1405WAEXK-1	FALSE	-	5cb588797c9a3494d37dab3e2a20c4a82d78bccffd33fec8e38b6d122b03d058	9f4532d45c3cb1325af69bda5162f0ba36d3559c282855578c9ffd9206e3b474
SAMN03098210	2014C-3656	-	SRR1610029	outgroup	1405WAEXK-1	FALSE	-	fdbb2fdf7a294fb7831d2a75953c304c4da766816f51f8695b5eff2149176780	bfff096d4119bb7a69f9e6e70aac45eb9763437cdbeeb968aafd53bd955d8a40
SAMN03098211	2014C-3655	-	SRR1610028	outgroup	1405WAEXK-1	FALSE	-	af41ef9c5a6d397a6a8921e889395b1fd7d339e3f87336e31ec440db9fe041df	b92844a406681174a0457010f67862acc40718c70167e22d37d23cf6fefad353
SAMN03098214	2014C-3840	-	SRR1610031	outgroup	1405WAEXK-1	FALSE	-	c4958e7a3f0c541831fffcaa8c75aafbda4ddf90a6d886bc44d236318dd2abcb	85b8f96a6e68e52ffd4a71715a36372ee3556e912c29d384adb9f1daae8cba92
SAMN03098215	2014C-3857	-	SRR1610033	outgroup	1405WAEXK-1	FALSE	-	15a2ce983032b83665dff32390f7cd08459f82433ebf180d376f12c03d867c0a	e729ba4a6fdfd2e4c9928e34a095865ffe1af79056c739fd83f404551f2d7e2e
SAMN03098216	2014C-3907	-	SRR1610034	outgroup	1405WAEXK-1	FALSE	-	dcb4efeadf7a70021fc5302787769dbda28967ff10c8441ddd9ae0b11cf3a368	0442d6d2d03c69570caab7a6c68f80d8843c668c19f4fd025eddf900d96a5f3d
SAMN03098217	2014C-3850	-	SRR1610032	outgroup	1405WAEXK-1	FALSE	-	be970c3123b93b3f583b8e21687bc12b56e3a83a8d1bea913a2533395fc0558e	90e14abb9ecdc9fbb8fcc395f6a9f446afd3610de6395e90eb3ff5cab09b93a2
